Time  1 - default sample rate [s]	Bladder [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
651.50	-0.4591	-390.74	609.32	-324.47	734.67	-132.77	-450.53	-296.35	563.42	737.88	-81.73	-181.35	12.13	-29.14	-12.90	30.65	
651.60	-0.4581	-390.71	609.28	-324.39	734.64	-132.82	-450.52	-296.31	563.40	737.76	-81.67	-181.28	12.17	-29.13	-12.90	30.65	
651.70	-0.4596	-390.66	609.15	-324.36	734.61	-132.83	-450.53	-296.26	563.35	737.66	-81.74	-181.31	12.19	-29.17	-12.89	30.67	
651.80	-0.4589	-390.67	609.06	-324.41	734.58	-132.85	-450.55	-296.22	563.34	737.61	-81.88	-181.34	12.16	-29.26	-12.90	30.66	
651.90	-0.4594	-390.62	609.05	-324.42	734.58	-132.83	-450.51	-296.20	563.35	737.56	-81.88	-181.30	12.16	-29.30	-12.92	30.65	
652.00	-0.4602	-390.55	609.05	-324.35	734.59	-132.76	-450.45	-296.11	563.32	737.54	-81.81	-181.26	12.17	-29.27	-12.92	30.64	
652.10	-0.4604	-390.55	609.06	-324.28	734.50	-132.74	-450.41	-296.01	563.26	737.47	-81.80	-181.29	12.17	-29.28	-12.92	30.64	
652.20	-0.4609	-390.60	609.10	-324.25	734.45	-132.72	-450.44	-296.00	563.25	737.35	-81.76	-181.27	12.22	-29.34	-12.92	30.64	
652.30	-0.4628	-390.65	609.04	-324.30	734.46	-132.75	-450.50	-296.00	563.23	737.27	-81.74	-181.27	12.26	-29.39	-12.93	30.64	
652.40	-0.4625	-390.65	608.95	-324.35	734.39	-132.81	-450.51	-295.95	563.20	737.22	-81.76	-181.32	12.29	-29.49	-12.94	30.66	
652.50	-0.4630	-390.59	608.95	-324.27	734.29	-132.81	-450.48	-295.87	563.19	737.19	-81.84	-181.30	12.28	-29.59	-12.93	30.68	
652.60	-0.4622	-390.56	608.94	-324.25	734.18	-132.86	-450.51	-295.83	563.14	737.09	-81.85	-181.17	12.28	-29.67	-12.90	30.68	
652.70	-0.4620	-390.53	608.90	-324.29	734.12	-132.91	-450.50	-295.85	563.06	737.04	-81.82	-181.12	12.24	-29.71	-12.89	30.68	
652.80	-0.4620	-390.56	608.87	-324.29	734.13	-132.92	-450.48	-295.88	562.92	737.01	-81.77	-181.15	12.17	-29.77	-12.92	30.69	
652.90	-0.4625	-390.68	608.89	-324.31	734.10	-132.94	-450.53	-295.84	562.84	736.94	-81.71	-181.21	12.16	-29.82	-12.96	30.70	
653.00	-0.4615	-390.69	608.90	-324.31	734.03	-132.92	-450.57	-295.79	562.84	736.91	-81.71	-181.26	12.21	-29.82	-12.97	30.72	
653.10	-0.4625	-390.63	608.91	-324.24	734.06	-132.90	-450.55	-295.75	562.86	736.92	-81.71	-181.24	12.26	-29.82	-12.95	30.71	
653.20	-0.4628	-390.56	608.93	-324.18	734.10	-132.88	-450.53	-295.75	562.86	736.90	-81.73	-181.13	12.23	-29.88	-12.91	30.68	
653.30	-0.4620	-390.51	608.84	-324.19	734.07	-132.81	-450.52	-295.76	562.84	736.84	-81.79	-181.12	12.23	-29.93	-12.90	30.66	
653.40	-0.4643	-390.54	608.72	-324.23	734.01	-132.80	-450.53	-295.73	562.73	736.76	-81.83	-181.17	12.29	-29.98	-12.90	30.66	
653.50	-0.4641	-390.55	608.69	-324.21	733.97	-132.84	-450.54	-295.69	562.66	736.76	-81.86	-181.19	12.30	-30.02	-12.89	30.64	
653.60	-0.4646	-390.57	608.70	-324.22	733.93	-132.88	-450.52	-295.65	562.64	736.73	-81.88	-181.17	12.30	-30.02	-12.89	30.63	
653.70	-0.4635	-390.63	608.68	-324.29	733.89	-132.88	-450.53	-295.62	562.56	736.62	-81.88	-181.12	12.35	-30.02	-12.91	30.65	
653.80	-0.4638	-390.63	608.73	-324.26	733.87	-132.85	-450.54	-295.55	562.60	736.59	-81.93	-181.04	12.36	-30.07	-12.94	30.65	
653.90	-0.4635	-390.61	608.80	-324.17	733.87	-132.82	-450.54	-295.51	562.71	736.58	-81.96	-181.00	12.37	-30.08	-12.96	30.62	
654.00	-0.4622	-390.61	608.74	-324.10	733.89	-132.84	-450.51	-295.52	562.79	736.48	-81.97	-181.00	12.35	-30.10	-12.96	30.62	
654.10	-0.4648	-390.59	608.60	-324.14	733.85	-132.87	-450.49	-295.52	562.77	736.41	-81.90	-181.00	12.32	-30.14	-12.94	30.65	
654.20	-0.4669	-390.54	608.57	-324.11	733.85	-132.80	-450.48	-295.50	562.71	736.40	-81.85	-180.97	12.31	-30.17	-12.93	30.67	
654.30	-0.4654	-390.50	608.58	-324.03	733.87	-132.75	-450.48	-295.49	562.67	736.37	-81.86	-180.96	12.30	-30.21	-12.93	30.68	
654.40	-0.4638	-390.50	608.62	-323.98	733.85	-132.79	-450.45	-295.47	562.62	736.34	-81.89	-180.97	12.30	-30.25	-12.93	30.67	
654.50	-0.4664	-390.54	608.62	-324.03	733.81	-132.86	-450.43	-295.47	562.54	736.31	-81.89	-180.96	12.37	-30.29	-12.93	30.67	
654.60	-0.4693	-390.55	608.60	-324.06	733.80	-132.89	-450.38	-295.46	562.46	736.34	-81.86	-180.94	12.42	-30.32	-12.92	30.68	
654.70	-0.4687	-390.52	608.59	-324.05	733.84	-132.88	-450.34	-295.42	562.44	736.39	-81.83	-180.92	12.42	-30.34	-12.92	30.68	
654.80	-0.4685	-390.50	608.60	-324.03	733.89	-132.85	-450.36	-295.33	562.46	736.37	-81.83	-180.91	12.39	-30.36	-12.92	30.67	
654.90	-0.4687	-390.50	608.66	-324.00	733.85	-132.85	-450.40	-295.35	562.46	736.31	-81.88	-180.91	12.36	-30.38	-12.92	30.64	
655.00	-0.4682	-390.54	608.62	-324.03	733.78	-132.89	-450.41	-295.39	562.43	736.23	-81.95	-180.91	12.39	-30.43	-12.91	30.63	
655.10	-0.4677	-390.52	608.55	-324.08	733.78	-132.90	-450.41	-295.38	562.41	736.16	-81.97	-180.93	12.43	-30.49	-12.91	30.63	
655.20	-0.4685	-390.49	608.49	-324.09	733.74	-132.88	-450.42	-295.38	562.40	736.05	-82.01	-181.01	12.44	-30.55	-12.92	30.65	
655.30	-0.4698	-390.49	608.42	-324.04	733.67	-132.91	-450.41	-295.39	562.38	735.97	-82.01	-181.05	12.47	-30.58	-12.92	30.67	
655.40	-0.4711	-390.50	608.33	-324.06	733.68	-132.89	-450.41	-295.33	562.36	735.97	-81.99	-181.05	12.48	-30.60	-12.92	30.67	
655.50	-0.4711	-390.52	608.35	-324.08	733.65	-132.82	-450.39	-295.28	562.37	736.00	-81.98	-181.01	12.45	-30.64	-12.92	30.65	
655.60	-0.4716	-390.52	608.40	-324.06	733.56	-132.83	-450.37	-295.27	562.34	735.99	-82.01	-180.93	12.41	-30.65	-12.92	30.64	
655.70	-0.4708	-390.48	608.36	-324.02	733.55	-132.92	-450.45	-295.29	562.29	735.95	-82.00	-180.88	12.42	-30.60	-12.92	30.66	
655.80	-0.4701	-390.46	608.32	-323.99	733.58	-132.95	-450.44	-295.29	562.27	735.95	-81.97	-180.86	12.48	-30.54	-12.92	30.66	
655.90	-0.4706	-390.46	608.32	-324.01	733.57	-132.95	-450.37	-295.26	562.24	735.93	-81.97	-180.83	12.56	-30.54	-12.92	30.66	
656.00	-0.4695	-390.53	608.33	-324.03	733.51	-132.96	-450.36	-295.27	562.17	735.88	-81.95	-180.81	12.61	-30.59	-12.93	30.67	
656.10	-0.4703	-390.55	608.28	-324.02	733.43	-132.95	-450.37	-295.34	562.11	735.84	-81.90	-180.79	12.59	-30.62	-12.95	30.67	
656.20	-0.4682	-390.49	608.27	-324.00	733.41	-132.91	-450.30	-295.31	562.08	735.75	-81.84	-180.79	12.58	-30.64	-12.97	30.67	
656.30	-0.4693	-390.47	608.31	-324.02	733.42	-132.87	-450.26	-295.23	562.09	735.68	-81.85	-180.81	12.59	-30.66	-12.98	30.66	
656.40	-0.4711	-390.45	608.31	-323.98	733.42	-132.84	-450.25	-295.14	562.14	735.69	-81.92	-180.82	12.58	-30.69	-12.97	30.65	
656.50	-0.4727	-390.42	608.25	-323.91	733.51	-132.86	-450.28	-295.10	562.16	735.76	-81.93	-180.81	12.59	-30.73	-12.95	30.67	
656.60	-0.4734	-390.37	608.26	-323.86	733.53	-132.89	-450.25	-295.03	562.18	735.79	-81.94	-180.88	12.62	-30.74	-12.92	30.69	
656.70	-0.4724	-390.35	608.27	-323.84	733.46	-132.88	-450.28	-294.99	562.19	735.77	-81.97	-180.93	12.63	-30.72	-12.91	30.68	
656.80	-0.4732	-390.37	608.30	-323.88	733.41	-132.82	-450.38	-295.04	562.18	735.77	-82.00	-180.93	12.61	-30.78	-12.90	30.66	
656.90	-0.4740	-390.44	608.28	-323.91	733.41	-132.83	-450.41	-295.09	562.12	735.74	-81.96	-180.86	12.61	-30.83	-12.90	30.65	
657.00	-0.4747	-390.48	608.27	-323.92	733.42	-132.87	-450.37	-295.10	562.12	735.64	-81.93	-180.81	12.59	-30.88	-12.92	30.63	
657.10	-0.4750	-390.43	608.32	-323.92	733.45	-132.86	-450.33	-295.09	562.17	735.61	-81.92	-180.81	12.59	-30.93	-12.92	30.63	
657.20	-0.4732	-390.41	608.29	-323.90	733.51	-132.87	-450.27	-295.00	562.19	735.60	-81.91	-180.81	12.60	-30.99	-12.93	30.63	
657.30	-0.4724	-390.43	608.26	-323.92	733.52	-132.89	-450.29	-294.96	562.23	735.57	-81.94	-180.85	12.60	-31.06	-12.93	30.66	
657.40	-0.4750	-390.44	608.22	-323.93	733.48	-132.89	-450.34	-295.02	562.26	735.59	-81.95	-180.87	12.57	-31.11	-12.94	30.66	
657.50	-0.4740	-390.44	608.15	-323.91	733.43	-132.87	-450.36	-295.06	562.19	735.61	-81.95	-180.85	12.54	-31.12	-12.95	30.66	
657.60	-0.4742	-390.46	608.11	-323.91	733.38	-132.90	-450.37	-295.03	562.05	735.54	-81.92	-180.78	12.56	-31.10	-12.93	30.66	
657.70	-0.4734	-390.44	608.15	-323.90	733.34	-132.94	-450.38	-294.99	561.97	735.47	-81.93	-180.79	12.58	-31.10	-12.90	30.66	
657.80	-0.4729	-390.38	608.19	-323.89	733.33	-132.95	-450.41	-294.93	562.00	735.45	-81.96	-180.84	12.56	-31.18	-12.90	30.65	
657.90	-0.4732	-390.37	608.20	-323.91	733.32	-132.95	-450.43	-294.95	562.04	735.44	-81.93	-180.80	12.55	-31.21	-12.92	30.64	
658.00	-0.4747	-390.40	608.24	-323.95	733.23	-132.97	-450.46	-295.01	562.05	735.46	-81.93	-180.68	12.56	-31.19	-12.95	30.63	
658.10	-0.4737	-390.41	608.25	-323.94	733.21	-132.96	-450.51	-295.01	562.00	735.46	-81.98	-180.66	12.59	-31.19	-12.96	30.61	
658.20	-0.4750	-390.40	608.24	-323.83	733.20	-132.91	-450.52	-294.94	561.94	735.41	-81.99	-180.69	12.63	-31.24	-12.95	30.59	
658.30	-0.4747	-390.43	608.22	-323.78	733.21	-132.86	-450.47	-294.89	561.95	735.38	-81.97	-180.72	12.63	-31.26	-12.93	30.61	
658.40	-0.4729	-390.46	608.13	-323.82	733.24	-132.85	-450.43	-294.89	562.01	735.37	-82.00	-180.70	12.60	-31.27	-12.91	30.64	
658.50	-0.4750	-390.47	608.05	-323.84	733.20	-132.87	-450.41	-294.92	562.02	735.39	-82.07	-180.69	12.56	-31.26	-12.90	30.67	
658.60	-0.4760	-390.44	608.08	-323.85	733.23	-132.84	-450.38	-294.90	562.02	735.39	-82.13	-180.69	12.61	-31.26	-12.92	30.67	
658.70	-0.4781	-390.44	608.10	-323.86	733.28	-132.86	-450.38	-294.89	562.02	735.34	-82.14	-180.68	12.68	-31.26	-12.93	30.66	
658.80	-0.4792	-390.43	608.11	-323.86	733.26	-132.95	-450.39	-294.91	562.02	735.30	-82.12	-180.66	12.68	-31.30	-12.91	30.63	
658.90	-0.4773	-390.44	608.10	-323.83	733.23	-132.99	-450.39	-294.94	561.99	735.34	-82.03	-180.66	12.63	-31.34	-12.89	30.63	
659.00	-0.4768	-390.42	608.11	-323.82	733.25	-132.98	-450.36	-294.94	561.94	735.39	-82.00	-180.73	12.63	-31.37	-12.89	30.66	
659.10	-0.4768	-390.39	608.10	-323.84	733.27	-132.95	-450.35	-294.92	561.90	735.37	-82.04	-180.74	12.67	-31.38	-12.92	30.68	
659.20	-0.4779	-390.40	608.05	-323.87	733.29	-132.90	-450.36	-294.86	561.92	735.31	-82.07	-180.73	12.69	-31.39	-12.94	30.67	
659.30	-0.4779	-390.43	608.07	-323.86	733.31	-132.87	-450.34	-294.79	561.98	735.26	-82.07	-180.73	12.70	-31.43	-12.93	30.66	
659.40	-0.4773	-390.40	608.10	-323.84	733.34	-132.90	-450.35	-294.74	561.98	735.19	-82.09	-180.72	12.72	-31.45	-12.92	30.68	
659.50	-0.4776	-390.39	608.07	-323.87	733.34	-132.92	-450.40	-294.74	561.92	735.14	-82.14	-180.71	12.71	-31.45	-12.93	30.69	
659.60	-0.4781	-390.41	608.03	-323.91	733.28	-132.88	-450.46	-294.70	561.86	735.09	-82.10	-180.71	12.71	-31.43	-12.93	30.69	
659.70	-0.4779	-390.48	608.05	-323.86	733.19	-132.83	-450.47	-294.65	561.85	735.11	-82.00	-180.71	12.79	-31.40	-12.92	30.69	
659.80	-0.4781	-390.59	608.08	-323.82	733.14	-132.85	-450.44	-294.64	561.89	735.17	-81.96	-180.71	12.86	-31.34	-12.94	30.68	
659.90	-0.4758	-390.59	608.08	-323.84	733.14	-132.90	-450.44	-294.64	561.89	735.19	-81.96	-180.71	12.87	-31.31	-12.95	30.67	
660.00	-0.4740	-390.46	608.02	-323.85	733.15	-132.94	-450.42	-294.63	561.86	735.17	-82.01	-180.71	12.83	-31.33	-12.94	30.68	
660.10	-0.4742	-390.38	607.97	-323.79	733.15	-132.96	-450.41	-294.66	561.83	735.14	-82.06	-180.68	12.80	-31.38	-12.93	30.70	
660.20	-0.4734	-390.40	608.00	-323.79	733.14	-132.96	-450.38	-294.68	561.86	735.18	-82.05	-180.60	12.82	-31.41	-12.93	30.69	
660.30	-0.4714	-390.41	608.04	-323.80	733.16	-132.90	-450.34	-294.66	561.88	735.20	-82.06	-180.59	12.84	-31.42	-12.94	30.68	
660.40	-0.4711	-390.39	608.10	-323.71	733.20	-132.79	-450.36	-294.65	561.89	735.17	-82.13	-180.65	12.84	-31.46	-12.96	30.64	
660.50	-0.4716	-390.40	608.09	-323.65	733.24	-132.82	-450.38	-294.62	561.89	735.14	-82.13	-180.64	12.85	-31.49	-12.95	30.62	
660.60	-0.4687	-390.44	608.08	-323.68	733.25	-132.89	-450.33	-294.62	561.90	735.19	-82.14	-180.59	12.83	-31.54	-12.93	30.62	
660.70	-0.4654	-390.43	608.09	-323.69	733.26	-132.85	-450.30	-294.59	561.92	735.21	-82.17	-180.58	12.83	-31.57	-12.94	30.63	
660.80	-0.4609	-390.44	608.10	-323.73	733.25	-132.81	-450.34	-294.59	561.86	735.13	-82.12	-180.59	12.81	-31.54	-12.95	30.62	
660.90	-0.4578	-390.49	608.02	-323.79	733.18	-132.87	-450.41	-294.66	561.77	735.08	-82.07	-180.65	12.73	-31.60	-12.96	30.62	
661.00	-0.4573	-390.51	607.97	-323.77	733.20	-132.93	-450.43	-294.69	561.70	734.99	-81.96	-180.67	12.70	-31.73	-12.94	30.63	
661.10	-0.4589	-390.50	607.96	-323.74	733.22	-132.95	-450.42	-294.67	561.70	734.92	-81.94	-180.65	12.71	-31.78	-12.94	30.65	
661.20	-0.4591	-390.51	607.98	-323.74	733.17	-132.94	-450.46	-294.62	561.81	734.85	-81.99	-180.64	12.74	-31.76	-12.92	30.66	
661.30	-0.4612	-390.57	607.98	-323.78	733.12	-132.92	-450.46	-294.55	561.86	734.82	-82.04	-180.62	12.77	-31.74	-12.91	30.68	
661.40	-0.4635	-390.56	607.98	-323.79	733.10	-132.89	-450.44	-294.55	561.82	734.82	-82.08	-180.56	12.80	-31.71	-12.91	30.69	
661.50	-0.4659	-390.53	608.02	-323.80	733.08	-132.82	-450.40	-294.58	561.84	734.85	-82.09	-180.58	12.82	-31.69	-12.92	30.70	
661.60	-0.4680	-390.50	608.07	-323.83	733.06	-132.80	-450.39	-294.58	561.92	734.89	-82.07	-180.68	12.83	-31.71	-12.95	30.69	
661.70	-0.4703	-390.49	608.06	-323.87	733.01	-132.88	-450.44	-294.59	561.92	734.90	-82.10	-180.68	12.87	-31.75	-12.96	30.67	
661.80	-0.4721	-390.52	608.03	-323.89	733.00	-132.95	-450.52	-294.62	561.84	734.94	-82.18	-180.65	12.91	-31.77	-12.93	30.67	
661.90	-0.4742	-390.51	608.02	-323.88	733.01	-132.96	-450.51	-294.61	561.77	734.98	-82.19	-180.66	12.88	-31.73	-12.93	30.68	
662.00	-0.4758	-390.47	607.98	-323.86	732.99	-132.95	-450.45	-294.62	561.72	734.99	-82.19	-180.68	12.81	-31.67	-12.96	30.68	
662.10	-0.4786	-390.48	607.97	-323.83	732.98	-132.93	-450.39	-294.57	561.72	734.92	-82.15	-180.69	12.82	-31.68	-12.97	30.67	
662.20	-0.4789	-390.50	607.90	-323.80	733.02	-132.93	-450.35	-294.51	561.70	734.85	-82.05	-180.72	12.86	-31.68	-12.98	30.66	
662.30	-0.4802	-390.47	607.84	-323.76	733.05	-132.87	-450.31	-294.49	561.71	734.88	-81.98	-180.68	12.89	-31.70	-12.97	30.66	
662.40	-0.4828	-390.48	607.82	-323.69	733.04	-132.85	-450.33	-294.50	561.77	734.88	-81.96	-180.60	12.95	-31.74	-12.96	30.67	
662.50	-0.4805	-390.49	607.84	-323.69	733.02	-132.95	-450.43	-294.49	561.78	734.81	-82.01	-180.54	12.95	-31.73	-12.97	30.68	
662.60	-0.4818	-390.39	607.89	-323.76	732.97	-132.97	-450.46	-294.46	561.76	734.80	-82.06	-180.57	12.93	-31.68	-12.96	30.68	
662.70	-0.4802	-390.35	607.98	-323.78	732.96	-132.95	-450.39	-294.43	561.76	734.85	-82.07	-180.60	12.92	-31.69	-12.93	30.67	
662.80	-0.4810	-390.43	608.03	-323.82	733.00	-132.96	-450.32	-294.41	561.78	734.86	-82.07	-180.61	12.91	-31.79	-12.91	30.65	
662.90	-0.4818	-390.44	607.93	-323.81	733.05	-132.97	-450.30	-294.39	561.79	734.81	-82.07	-180.57	12.93	-31.92	-12.91	30.64	
663.00	-0.4823	-390.41	607.89	-323.79	733.04	-132.97	-450.29	-294.38	561.80	734.77	-82.08	-180.57	12.99	-31.96	-12.91	30.64	
663.10	-0.4823	-390.39	607.92	-323.82	733.05	-132.96	-450.32	-294.37	561.78	734.76	-82.07	-180.57	13.02	-31.94	-12.91	30.66	
663.20	-0.4815	-390.46	607.96	-323.82	733.06	-132.99	-450.42	-294.36	561.80	734.75	-82.06	-180.53	12.99	-31.95	-12.92	30.68	
663.30	-0.4802	-390.53	607.95	-323.79	733.05	-132.98	-450.45	-294.35	561.83	734.73	-82.10	-180.48	12.92	-31.95	-12.90	30.70	
663.40	-0.4810	-390.49	607.93	-323.75	733.05	-132.95	-450.43	-294.34	561.75	734.74	-82.09	-180.45	12.87	-31.94	-12.88	30.70	
663.50	-0.4815	-390.43	607.91	-323.76	733.02	-132.96	-450.44	-294.33	561.70	734.71	-82.05	-180.47	12.85	-31.93	-12.88	30.70	
663.60	-0.4833	-390.40	607.89	-323.80	732.93	-132.98	-450.47	-294.34	561.67	734.63	-82.03	-180.49	12.88	-31.91	-12.87	30.68	
663.70	-0.4818	-390.42	607.86	-323.79	732.90	-132.95	-450.46	-294.38	561.61	734.60	-82.01	-180.57	12.91	-31.89	-12.88	30.66	
663.80	-0.4820	-390.46	607.86	-323.71	732.97	-132.93	-450.40	-294.40	561.57	734.63	-82.03	-180.66	12.90	-31.91	-12.90	30.66	
663.90	-0.4833	-390.49	607.86	-323.71	732.98	-132.94	-450.39	-294.40	561.57	734.66	-82.07	-180.69	12.88	-31.97	-12.92	30.65	
664.00	-0.4833	-390.48	607.80	-323.75	732.93	-132.99	-450.43	-294.36	561.62	734.67	-82.11	-180.68	12.88	-32.02	-12.92	30.65	
664.10	-0.4820	-390.50	607.74	-323.78	732.87	-133.07	-450.46	-294.36	561.59	734.66	-82.17	-180.62	12.89	-32.00	-12.92	30.67	
664.20	-0.4812	-390.49	607.76	-323.77	732.87	-133.01	-450.46	-294.36	561.61	734.71	-82.15	-180.53	12.93	-32.03	-12.92	30.68	
664.30	-0.4823	-390.45	607.80	-323.77	732.89	-132.91	-450.46	-294.33	561.62	734.71	-82.09	-180.48	12.94	-32.10	-12.92	30.66	
664.40	-0.4818	-390.44	607.78	-323.79	732.95	-132.87	-450.50	-294.29	561.60	734.65	-82.07	-180.48	12.92	-32.14	-12.95	30.66	
664.50	-0.4841	-390.50	607.75	-323.71	733.00	-132.89	-450.51	-294.28	561.58	734.71	-82.11	-180.56	12.93	-32.12	-12.95	30.64	
664.60	-0.4854	-390.55	607.79	-323.67	732.98	-132.86	-450.48	-294.24	561.60	734.72	-82.14	-180.63	12.93	-32.09	-12.92	30.64	
664.70	-0.4867	-390.53	607.85	-323.67	732.94	-132.82	-450.44	-294.22	561.65	734.73	-82.17	-180.62	12.95	-32.07	-12.91	30.65	
664.80	-0.4870	-390.53	607.87	-323.65	732.95	-132.79	-450.31	-294.23	561.69	734.73	-82.20	-180.57	13.02	-32.06	-12.91	30.66	
664.90	-0.4849	-390.49	607.85	-323.68	732.98	-132.81	-450.25	-294.25	561.69	734.70	-82.20	-180.53	13.07	-32.06	-12.92	30.68	
665.00	-0.4844	-390.44	607.87	-323.70	732.95	-132.87	-450.29	-294.25	561.63	734.63	-82.19	-180.53	13.02	-32.09	-12.91	30.67	
665.10	-0.4852	-390.47	607.92	-323.73	732.93	-132.89	-450.33	-294.21	561.65	734.59	-82.22	-180.56	12.96	-32.13	-12.90	30.66	
665.20	-0.4867	-390.51	607.93	-323.77	732.97	-132.86	-450.39	-294.16	561.74	734.58	-82.24	-180.60	12.94	-32.15	-12.89	30.64	
665.30	-0.4859	-390.51	607.92	-323.79	733.02	-132.90	-450.40	-294.17	561.76	734.64	-82.17	-180.56	12.96	-32.14	-12.89	30.65	
665.40	-0.4857	-390.57	607.85	-323.77	732.96	-132.96	-450.39	-294.25	561.71	734.65	-82.11	-180.49	12.99	-32.22	-12.89	30.67	
665.50	-0.4846	-390.58	607.80	-323.71	732.92	-132.98	-450.40	-294.27	561.68	734.61	-82.10	-180.49	12.99	-32.31	-12.88	30.66	
665.60	-0.4857	-390.52	607.81	-323.62	732.89	-132.99	-450.41	-294.23	561.65	734.55	-82.11	-180.47	13.00	-32.35	-12.89	30.65	
665.70	-0.4867	-390.50	607.89	-323.59	732.89	-133.00	-450.35	-294.23	561.66	734.57	-82.07	-180.43	13.08	-32.29	-12.92	30.64	
665.80	-0.4867	-390.51	607.88	-323.64	732.92	-132.97	-450.30	-294.25	561.72	734.62	-82.07	-180.41	13.16	-32.18	-12.94	30.62	
665.90	-0.4867	-390.51	607.83	-323.70	732.94	-132.93	-450.29	-294.23	561.71	734.64	-82.11	-180.41	13.17	-32.15	-12.94	30.62	
666.00	-0.4859	-390.50	607.81	-323.79	732.93	-132.92	-450.29	-294.21	561.64	734.59	-82.18	-180.46	13.10	-32.20	-12.94	30.64	
666.10	-0.4872	-390.44	607.79	-323.83	732.90	-132.93	-450.39	-294.24	561.58	734.52	-82.14	-180.50	13.04	-32.25	-12.94	30.68	
666.20	-0.4870	-390.45	607.71	-323.80	732.91	-132.88	-450.50	-294.25	561.54	734.49	-82.13	-180.53	12.99	-32.31	-12.94	30.69	
666.30	-0.4870	-390.46	607.68	-323.75	732.95	-132.87	-450.51	-294.23	561.55	734.48	-82.16	-180.55	12.94	-32.34	-12.92	30.67	
666.40	-0.4859	-390.50	607.71	-323.74	732.94	-132.91	-450.46	-294.20	561.57	734.49	-82.21	-180.58	12.95	-32.32	-12.90	30.64	
666.50	-0.4862	-390.55	607.80	-323.74	732.90	-132.98	-450.45	-294.21	561.61	734.48	-82.22	-180.57	12.99	-32.32	-12.91	30.61	
666.60	-0.4854	-390.54	607.83	-323.78	732.93	-133.00	-450.51	-294.21	561.63	734.45	-82.14	-180.48	12.96	-32.42	-12.94	30.63	
666.70	-0.4852	-390.53	607.83	-323.82	733.00	-132.96	-450.51	-294.19	561.61	734.47	-82.06	-180.42	12.96	-32.46	-12.95	30.65	
666.80	-0.4859	-390.49	607.81	-323.82	733.09	-132.92	-450.43	-294.15	561.58	734.52	-82.02	-180.38	13.00	-32.42	-12.94	30.67	
666.90	-0.4865	-390.49	607.75	-323.75	733.06	-132.91	-450.38	-294.12	561.56	734.48	-82.08	-180.41	13.05	-32.38	-12.95	30.67	
667.00	-0.4859	-390.52	607.73	-323.73	732.94	-132.92	-450.38	-294.15	561.58	734.39	-82.08	-180.49	13.07	-32.33	-12.95	30.67	
667.10	-0.4859	-390.48	607.79	-323.72	732.87	-132.94	-450.37	-294.17	561.61	734.31	-82.09	-180.52	13.06	-32.32	-12.96	30.67	
667.20	-0.4854	-390.43	607.87	-323.71	732.81	-132.95	-450.32	-294.15	561.64	734.25	-82.10	-180.50	13.06	-32.33	-12.96	30.66	
667.30	-0.4862	-390.42	607.89	-323.70	732.84	-132.94	-450.31	-294.15	561.67	734.28	-82.09	-180.40	13.08	-32.33	-12.96	30.66	
667.40	-0.4844	-390.44	607.84	-323.67	732.93	-132.94	-450.36	-294.18	561.73	734.33	-82.08	-180.34	13.06	-32.32	-12.96	30.66	
667.50	-0.4854	-390.46	607.80	-323.65	732.96	-132.99	-450.37	-294.19	561.72	734.32	-82.09	-180.36	13.07	-32.33	-12.95	30.64	
667.60	-0.4867	-390.43	607.80	-323.63	732.98	-133.05	-450.37	-294.16	561.66	734.28	-82.14	-180.39	13.11	-32.35	-12.93	30.63	
667.70	-0.4865	-390.39	607.83	-323.65	732.94	-133.01	-450.35	-294.09	561.59	734.26	-82.22	-180.38	13.15	-32.35	-12.93	30.64	
667.80	-0.4867	-390.36	607.84	-323.66	732.99	-132.96	-450.33	-293.99	561.58	734.23	-82.24	-180.41	13.19	-32.35	-12.93	30.66	
667.90	-0.4898	-390.33	607.84	-323.61	733.04	-132.93	-450.33	-293.96	561.60	734.26	-82.20	-180.44	13.19	-32.35	-12.93	30.66	
668.00	-0.4911	-390.32	607.86	-323.55	733.02	-132.91	-450.36	-294.00	561.62	734.37	-82.19	-180.47	13.16	-32.36	-12.91	30.66	
668.10	-0.4906	-390.36	607.86	-323.55	732.97	-132.88	-450.35	-294.08	561.60	734.43	-82.17	-180.42	13.13	-32.34	-12.89	30.64	
668.20	-0.4914	-390.41	607.89	-323.59	732.93	-132.85	-450.36	-294.10	561.58	734.42	-82.13	-180.35	13.15	-32.30	-12.87	30.63	
668.30	-0.4935	-390.43	607.88	-323.64	732.94	-132.84	-450.37	-294.07	561.57	734.39	-82.13	-180.34	13.16	-32.33	-12.88	30.64	
668.40	-0.4935	-390.42	607.83	-323.68	732.92	-132.84	-450.40	-294.02	561.59	734.36	-82.13	-180.34	13.14	-32.40	-12.91	30.65	
668.50	-0.4943	-390.46	607.79	-323.65	732.89	-132.90	-450.40	-294.00	561.57	734.36	-82.14	-180.37	13.09	-32.49	-12.94	30.63	
